rm_id,partner_id,name,email
24f2904f-ca46-4db9-9903-5d85efe49548,009d2e3a-fdcd-4ffa-8915-fb8f9cff49e4,Gregory Robinson,gregory.robinson@foxmore-wealth.co.uk
ecc46138-d435-4888-bba9-1013cfda6adc,009d2e3a-fdcd-4ffa-8915-fb8f9cff49e4,Donald Taylor,donald.taylor@foxmore-wealth.co.uk
4f1c9911-7a55-4ad6-b91e-cacb1c5a7b19,8bfe2d7b-041a-46e4-9c7f-648868307de5,Jessica White,jessica.white@aldgate-wealth.co.uk
baa18091-c5be-43ec-81a9-c2856c0f47c4,85581e80-3fa0-46ac-9438-85df07abd128,Heather Lee,heather.lee@kingsley-wealth.co.uk
0ec7d5b2-fe95-4322-9420-986175466c20,85581e80-3fa0-46ac-9438-85df07abd128,Ben Middleton,ben.middleton@kingsley-wealth.co.uk
4c5b418e-84f2-4f5d-a85d-18e05a225e79,4c0360ad-cd78-4635-b3d9-b151eb23663d,Rhys Davies,rhys.davies@hadley-wealth.co.uk
55dcf99d-e403-4e8e-b0dc-8a63f4e90e3e,4c0360ad-cd78-4635-b3d9-b151eb23663d,Rita Cross,rita.cross@hadley-wealth.co.uk
7817d110-f627-46cf-93d5-28359b4d2a28,6ec4d299-dd92-4489-90d5-b8fbde704fee,Eileen Hammond,eileen.hammond@brockton-wealth.co.uk
c1b30e10-9b40-420d-9c5d-8e51950dd7af,6ec4d299-dd92-4489-90d5-b8fbde704fee,Heather Thompson,heather.thompson@brockton-wealth.co.uk
3437d71e-745e-457b-a92a-810bc6229d91,b7499d6b-07f6-4eb5-b249-734839ce7d36,Duncan Humphries,duncan.humphries@norbury-wealth.co.uk
cfda438d-06a2-4b04-a36f-dc246c53f835,b7499d6b-07f6-4eb5-b249-734839ce7d36,Jessica Dixon,jessica.dixon@norbury-wealth.co.uk
4228fec8-6c9b-4e1f-9190-7a3c8294dbfa,b7499d6b-07f6-4eb5-b249-734839ce7d36,Ruth Holmes,ruth.holmes@norbury-wealth.co.uk
ba1a39cd-3280-4735-8185-b3984e97834d,b8fb60b7-8a2d-43e1-85a1-a006783875e5,Gerald Richardson,gerald.richardson@pemberton-wealth.co.uk
20883981-df17-4818-8bf5-3e6c53626223,b8fb60b7-8a2d-43e1-85a1-a006783875e5,William Wilson,william.wilson@pemberton-wealth.co.uk
37cc57ea-966a-4758-a8a8-f71dfd353540,b8fb60b7-8a2d-43e1-85a1-a006783875e5,Ryan Nelson,ryan.nelson@pemberton-wealth.co.uk
